127.0.0.1 - - [07/Feb/2024:13:41:38 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:41:39 +0700] "GET /Bai14_Bookstore_p1/index.jsp HTTP/1.1" 200 9524
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:41:40 +0700] "GET /Bai14_Bookstore_p1/khachhang/login.jsp HTTP/1.1" 200 7610
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:41:43 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 10935
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:41:49 +0700] "GET /Bai14_Bookstore_p1/khachhang/update.jsp HTTP/1.1" 200 11339
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:41:53 +0700] "GET /Bai14_Bookstore_p1/khachhang/changePassword.jsp HTTP/1.1" 200 9341
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:41:57 +0700] "GET /Bai14_Bookstore_p1/khach-hang?hanhDong=log-out& HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:41:57 +0700] "GET /Bai14_Bookstore_p1/index.jsp HTTP/1.1" 200 9524
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:41:57 +0700] "GET /Bai14_Bookstore_p1/khachhang/login.jsp HTTP/1.1" 200 7610
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:42:35 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 7667
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:42:38 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 7667
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:42:42 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 7667
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:42:47 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 7667
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:42:50 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 7667
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:42:53 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 10935
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:43:26 +0700] "GET /Bai14_Bookstore_p1/khachhang/update.jsp HTTP/1.1" 200 11348
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:43:27 +0700] "GET /Bai14_Bookstore_p1/khachhang/changePassword.jsp HTTP/1.1" 200 9341
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:43:56 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 9378
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:43:59 +0700] "GET /Bai14_Bookstore_p1/khach-hang?hanhDong=log-out& HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:43:59 +0700] "GET /Bai14_Bookstore_p1/index.jsp HTTP/1.1" 200 9524
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:00 +0700] "GET /Bai14_Bookstore_p1/khachhang/login.jsp HTTP/1.1" 200 7610
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:02 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 10935
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:04 +0700] "GET /Bai14_Bookstore_p1/khach-hang?hanhDong=log-out& HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:04 +0700] "GET /Bai14_Bookstore_p1/index.jsp HTTP/1.1" 200 9524
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:04 +0700] "GET /Bai14_Bookstore_p1/khachhang/login.jsp HTTP/1.1" 200 7610
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:07 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 10935
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:08 +0700] "GET /Bai14_Bookstore_p1/khachhang/changePassword.jsp HTTP/1.1" 200 9341
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:14 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 9378
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:17 +0700] "GET /Bai14_Bookstore_p1/khach-hang?hanhDong=log-out& HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:17 +0700] "GET /Bai14_Bookstore_p1/index.jsp HTTP/1.1" 200 9524
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:18 +0700] "GET /Bai14_Bookstore_p1/khachhang/login.jsp HTTP/1.1" 200 7610
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:22 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 10935
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:23 +0700] "GET /Bai14_Bookstore_p1/khach-hang?hanhDong=log-out& HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:23 +0700] "GET /Bai14_Bookstore_p1/index.jsp HTTP/1.1" 200 9524
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:25 +0700] "GET /Bai14_Bookstore_p1/khachhang/login.jsp HTTP/1.1" 200 7610
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:29 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 10935
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:30 +0700] "GET /Bai14_Bookstore_p1/khachhang/changePassword.jsp HTTP/1.1" 200 9341
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:34 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 9378
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:38 +0700] "GET /Bai14_Bookstore_p1/khach-hang?hanhDong=log-out& HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:38 +0700] "GET /Bai14_Bookstore_p1/index.jsp HTTP/1.1" 200 9524
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:39 +0700] "GET /Bai14_Bookstore_p1/khachhang/login.jsp HTTP/1.1" 200 7610
0:0:0:0:0:0:0:1 - - [07/Feb/2024:13:44:42 +0700] "POST /Bai14_Bookstore_p1/khach-hang HTTP/1.1" 200 10935
